seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	3670919	3671737	819	*	X0001	497097	3214482	3671498	457017	-	0	overlapStart	0	Xkr4
chr1	9545572	9545947	376	*	X0004	59014	9545408	9547455	2048	+	0	inside	163	Rrs1
chr1	15286524	15287019	496	*	X0006	98741	15287254	15723750	436497	+	234	upstream	234	Kcnb2
chr1	22805861	22806274	414	*	X0009	116837	22286251	22805994	519744	-	0	overlapStart	0	Rims1
chr1	25830114	25830504	391	*	X0010	210933	25067476	25829707	762232	-	406	upstream	406	Adgrb3
chr1	36068314	36068697	384	*	X0012	50785	36068400	36106446	38047	+	0	overlapStart	0	Hs6st1
chr1	39576879	39577437	559	*	X0015	67702	39551296	39577405	26110	-	0	overlapStart	0	Rnf149
chr1	42696795	42698085	1291	*	X0016	66297	42590782	42694842	104061	-	1952	upstream	1952	Pantr1
chr1	55362610	55363777	1168	*	X0018	75388	55248658	55363469	114812	-	0	overlapStart	0	Boll
chr1	63445984	63446431	448	*	X0020	23792	63445891	63596276	150386	+	0	inside	92	Adam23
chr1	74951285	74951734	450	*	X0021	16147	74945315	74951672	6358	-	0	overlapStart	0	Ihh
chr1	82839580	82839893	314	*	X0024	15463	82839483	82901182	61700	+	0	inside	96	Agfg1
chr1	83060923	83061240	318	*	X0025	71386	83060930	83061921	992	+	0	overlapStart	0	Krtap28-13
chr1	86045937	86046297	361	*	X0026	72792	86045863	86055456	9594	+	0	inside	73	2810459M11Rik
chr1	87853326	87853717	392	*	X0027	227333	87853287	87945180	91894	+	0	inside	38	Dgkd
chr1	92910743	92911274	532	*	X0029	108657	92910783	92920841	10059	+	0	overlapStart	0	Rnpepl1
chr1	92910743	92911274	532	*	X0029	75995	92908378	92910764	2387	-	0	overlapStart	0	5033417F24Rik
chr1	105990549	105991038	490	*	X0030	227449	105990406	106034074	43669	+	0	inside	142	Zcchc2
chr1	105990549	105991038	490	*	X0030	635504	105979350	105990282	10933	-	266	upstream	266	Gm7160
chr1	106714171	106714632	462	*	X0031	12043	106538178	106714274	176097	-	0	overlapStart	0	Bcl2
chr1	133423917	133424300	384	*	X0035	20668	133382303	133424377	42075	-	0	inside	76	Sox13
